transactionid,date,accountid,accountname,transactiontype,amount,currency,exchangerate,balance,merchant,merchantemail,category,subcategory,country,city,postalcode,cardnumber,email,phone,isfraud,notes,customersince
TX104336,2024-08-06,AC8501,Dev Reddy,Debit,1.0,INR,1.0,2419281.82,Walmart,walmart@biz.com,Health,Pharmacy,Canada,Gurugram,907823,XXXX-XXXX-XXXX-4101,dev.reddy@example.com,1078805253,No,monthly subscription,2016-11-18
TX105780,2024-08-08,AC3357,Rohit Ds,Debit,77.3263,USD,77.3263,1641946.095,Starbucks,Unknown,Clothing,Men,UAE,Chennai,823309,XXXX-XXXX-XXXX-4131,rohit.ds@gmail.com,5051471297,No,promo applied,2024-08-08
TX101883,2024-04-04,AC5205,Priya Das,Debit,1.0,INR,1.0,1162726.61,Paytm Mall,paytmmall@biz.com,Clothing,Men,India,Kolkata,976502,4.2347E+15,priya.das@hotmail.com,1162887189,No,chargeback requested,2024-04-04
TX100244,2025-05-27,AC8081,Rahul Das,Debit,19.3642,AED,19.3642,1641946.095,Paytm Mall,Unknown,Clothing,Women,USA,Pune,938833,4.84125E+15,rahul.das@gmail.com,9141358274,No,manual adjustment,2021-01-01
TX103008,2024-07-10,AC4519,Priya Roy,Refund,108.7271,GBP,108.7271,1641946.095,Swiggy,Unknown,Health,Pharmacy,India,Hyderabad,406227,XXXX-XXXX-3579,priya.roy@gmail.com,6687083298,No,chargeback requested,2018-05-18
TX104954,2025-02-13,AC5128,Asha Sharma,Credit,75.4365,USD,75.4365,1641946.095,Paytm Mall,paytmmall@biz.com,Clothing,Men,UAE,Jaipur,904363,XXXX-XXXX-7122,asha.sharma@yahoo.com,2964483564,No,repeat purchase,2024-10-22
TX105439,2024-08-17,AC3215,raj GUPTA,Debit,1.0,INR,1.0,1641946.095,BigBasket,bigbasket@biz.com,Groceries,Specialty,India,Noida,252321,XXXX-XXXX-4048,Unknown,596332663,No,No Notes,2019-01-01
TX104242,2023-12-09,AC9059,Dev Joshi,Refund,78.6113,USD,78.6113,1641946.095,ShopEasy,shopeasy@biz.com,Clothing,Men,USA,Mumbai,163619,XXXX-XXXX-7597,dev.joshi@gmail.com,5703662729,No,promo applied,2025-09-11
TX100149,2024-03-31,AC3436,Priya Iyer,Debit,1.0,INR,1.0,159515.16,Amazon,Unknown,Dining,FastFood,Australia,Bengaluru,404947,XXXX-XXXX-9133,priya.iyer@hotmail.com,8862075064,No,monthly subscription,2024-03-31
TX100968,2025-02-03,AC4055,Vikram Iyer,Refund,18.4318,AED,18.4318,538125.35,Zomato,zomato@biz.com,Entertainment,Concert,UK,Mumbai,366839,XXXX-XXXX-XXXX-4395,vikram.iyer@example.com,1359070095,No,monthly subscription,2021-06-05
TX101172,2023-10-31,AC2103,Uma Chopra,Debit,1.0,INR,1.0,558165.12,Zomato,zomato@biz.com,Entertainment,Streaming,UK,Hyderabad,601894,XXXX-XXXX-6321,uma.chopra@gmail.com,5898306104,No,repeat purchase,2026-05-01
TX101078,2024-09-27,AC7583,Maya Joshi,Credit,102.9324,GBP,102.9324,554069.5,ElectroWorld,electroworld@biz.com,Dining,FastFood,India,Bengaluru,906964,XXXX-XXXX-4394,maya.joshi@hotmail.com,9831713544,No,promo applied,2018-05-20
TX100607,2025-04-11,AC5277,Lina Khan,Debit,18.9825,AED,18.9825,280484.11,BigBasket,Unknown,Clothing,Men,Australia,Bengaluru,237925,XXXX-XXXX-3660,lina.khan@yahoo.com,9584325325,No,cashback credited,2017-06-23
TX103306,2024-01-11,AC1069,Rahul Khan,debit,75.2344,USD,75.2344,1807800.08,LocalMart,Unknown,Entertainment,Concert,Australia,Gurugram,891887,XXXX-XXXX-XXXX-3484,rahul.khan@example.com,8834441539,No,cashback credited,2017-01-01
TX103893,2025-05-03,AC4141,Sana Kumar,Debit,1.0,INR,1.0,2119765.95,Paytm Mall,paytmmall@biz.com,Electronics,Laptop,UAE,Pune,368236,XXXX-XXXX-XXXX-9148,sana.kumar@gmail.com,91534078,No,No Notes,2016-05-12
TX104025,2025-03-19,AC4460,Amit Reddy,Credit,1.0,INR,1.0,2230268.97,ShopEasy,shopeasy@biz.com,Groceries,Specialty,Australia,Delhi,212464,XXXX-XXXX-XXXX-2667,amit.reddy@yahoo.com,3337649748,No,chargeback requested,2025-04-20
TX103307,2025-03-12,AC5363,Amit Das,Credit,104.2049,GBP,104.2049,1807774.53,Myntra,Unknown,Entertainment,Streaming,Canada,Bengaluru,112110,XXXX-XXXX-3058,amit.das@hotmail.com,1867597990,Yes,repeat purchase,2024-01-01
TX103313,2025-07-14,AC3705,Raj Joshi,debit,81.3277,USD,81.3277,1641946.095,Walmart,walmart@biz.com,Automotive,Repair,UK,Kolkata,195972,Unknown,raj.joshi@gmail.com,7493558172,No," -- verify
contact support",2017-01-01
TX100962,2024-12-31,AC2315,Raj Gupta,Debit,72.1534,USD,72.1534,537998.07,BigBasket,bigbasket@biz.com,Utilities,Electricity,UK,Noida,740685,XXXX-XXXX-2383,raj.gupta@example.com ,6381948606,No,manual adjustment,2024-01-01
TX105061,2024-09-16,AC6036,Vikram Joshi,Credit,80.1416,USD,80.1416,2626456.33,Amazon,amazon@biz.com,Entertainment,Movies,UAE,Hyderabad,107274,XXXX-XXXX-XXXX-7441,vikram.joshigmail.com,5380982778,No,repeat purchase,2021-01-01
TX104017,2024-01-24,AC8062,Ritu Bose,Debit,79.4491,USD,79.4491,2229955.54,LocalMart,localmart@biz.com,Utilities,Internet,UAE,Chennai,394793,XXXX-XXXX-5744,ritu.bose@example.com,8345440986,No,monthly subscription,2025-01-01
TX104877,2023-12-29,AC5922,Asha Roy,debit,78.1248,USD,78.1248,2582097.81,Reliance,reliance@biz.com,Travel,Flight,UK,Gurugram,356250,XXXX-XXXX-3040,asha.roy@example.com,1266866191,No,chargeback requested,2016-10-21
TX102017,2023-11-23,AC7927,Sam Mehta,Credit,108.6389,GBP,108.6389,1198244.24,Flipkart,flipkart@biz.com,Automotive,Repair,UAE,Gurugram,851,XXXX-XXXX-1617,sam.mehta@yahoo.com,4274247476,No,repeat purchase,2024-01-01
TX101128,2023-12-18,AC4123,Sam Roy,Debit,74.8373,USD,74.8373,556084.2,Swiggy,swiggy@biz.com,Groceries,Supermarket,USA,Mumbai,948305,XXXX-XXXX-1512,sam.roy@gmail.com,2884957790,No,No Notes,2021-11-05
TX101879,2023-12-06,AC7457,Isha Gupta,Credit,1.0,INR,1.0,1641946.095,ShopEasy,shopeasy@biz.com,Education,Course,Canada,Pune,112651,4.57953E+15,isha.gupta@gmail.com,1162887189,No,suspected fraud,2023-01-01
TX100996,2024-10-30,AC3680,Rahul Bose,Refund,76.854,USD,76.854,540444.3,Reliance,Unknown,Clothing,Men,USA,Kolkata,891724,XXXX-XXXX-5775,rahul.bose@example.com,4077668631,No,repeat purchase,2024-10-30
TX102441,2024-08-16,AC2190,Sana Singh,Debit,20.0875,AED,20.0875,1412964.73,Paytm Mall,Unknown,Education,Course,USA,Chennai,954820,XXXX-XXXX-6036,sana.singh@yahoo.com,7728666343,No,repeat purchase,2023-01-01
TX100183,2024-12-01,AC2061,Priya Singh,debit,72.0087,USD,72.0087,160861.6,Starbucks,starbucks@biz.com,Electronics,Laptop,Canada,Delhi,779639,XXXX-XXXX-2396,priya.singh@yahoocom,6268886505,No,suspected fraud,2025-01-01
TX103580,2023-11-13,AC6576,Anita Iyer,Debit,1.0,INR,1.0,1985416.59,BigBasket,bigbasket@biz.com,Automotive,Fuel,UAE,Hyderabad,498331,XXXX-XXXX-6943,anita.iyer@hotmail.com,1520837599,No,repeat purchase,2019-01-01
TX102573,2024-06-26,AC9655,Arjun Patel,Credit,93.8799,GBP,93.8799,1558063.5,Reliance,reliance@biz.com,Clothing,Women,UAE,Mumbai,767751,XXXX-XXXX-4688,arjun.patel@hotmail.com,8885464699,No,chargeback requested,2019-05-21
TX105750,2025-06-24,AC1413,Rohit Reddy,Debit,1.0,INR,1.0,2902030.33,ShopEasy,shopeasy@biz.com,Clothing,Women,USA,Gurugram,260401,XXXX-XXXX-7279,rohit.reddy@example.com,6635535456,No,suspected fraud,2016-02-25
TX101690,2024-01-22,AC3148,Lina Patel,debit,1.0,INR,1.0,1078153.24,Zomato,zomato@biz.com,Electronics,Laptop,India,Pune,992600,XXXX-XXXX-5584,lina.patel@example.com,215016757,No,suspected fraud,2024-05-05
TX103556,2025-06-23,AC9559,Raj Chopra,Debit,1.0,INR,1.0,1984854.17,Amazon,Unknown,Entertainment,Concert,India,Mumbai,851,XXXX-XXXX-7502,raj.chopra@example.com,9772672278,No,cashback credited,2020-02-19
TX103790,2025-09-03,AC9558,Ritu Chopra,Refund,1.0,INR,1.0,1641946.095,Swiggy,swiggy@biz.com,Electronics,Laptop,Canada,Jaipur,844795,XXXX-XXXX-4043,ritu.chopra@gmail.com,9498584097,No,repeat purchase,2018-08-03
TX104783,2024-02-14,AC9402,Asha Reddy,Refund,92.614,GBP,92.614,1641946.095,Swiggy,Unknown,Education,Course,Australia,Gurugram,623428,XXXX-XXXX-8719,asha.reddy@hotmail.com,7099932495,No,suspected fraud,2022-12-03
TX101208,2023-12-15,AC7841,Neha Patel,Debit,78.2158,USD,78.2158,1641946.095,Flipkart,flipkart@biz.com,Utilities,Electricity,USA,Mumbai,801979,XXXX-XXXX-XXXX-8934,neha.patel@hotmail.com,5428150974,No,monthly subscription,2024-01-01
TX102582,2023-11-22,AC7891,Suresh Joshi,Credit,78.395,USD,78.395,1558830.66,AutoZone,Unknown,Education,Course,Australia,Chennai,559867,XXXX-XXXX-4192,suresh.joshi@yahoo.com,3007633270,No,chargeback requested,2021-08-16
TX101015,2024-05-30,AC6421,Karan Joshi,Debit,80.671,USD,80.671,1641946.095,ElectroWorld,Unknown,Dining,Cafe,UK,Gurugram,542517,XXXX-XXXX-XXXX-9899,karan.joshi@gmail.com,1774988281,No,repeat purchase,2025-10-16
TX101216,2024-10-18,AC9745,Ritu Singh,Debit,20.6941,AED,20.6941,593608.93,Paytm Mall,paytmmall@biz.com,Dining,Cafe,India,Jaipur,676000,XXXX-XXXX-XXXX-2954,ritu.singh@example.com,3546134212,No,cashback credited,2017-03-24
TX104572,2024-09-21,AC4530,uma DAS,Debit,82.3036,USD,82.3036,2465179.51,BigBasket,bigbasket@biz.com,Electronics,Mobile,Canada,Mumbai,192999,XXXX-XXXX-4591,uma.das@hotmail.com,6096763812,No,cashback credited,2016-01-01
TX101390,2025-02-24,AC2624,sam KUMAR,Credit,79.4537,USD,79.4537,975017.93,LocalMart,Unknown,Education,Books,Australia,Mumbai,876388,XXXX-XXXX-7221,sam.kumar@hotmail.com,4963289598,No,cashback credited,2021-01-01
TX103911,2024-12-06,AC2360,Uma Singh,Credit,1.0,INR,1.0,2120376.67,Zomato,Unknown,Dining,FastFood,Australia,Chennai,828458,XXXX-XXXX-5414,uma.singh@yahoo.com,6551297309,No,repeat purchase,2024-12-06
TX100739,2023-12-21,AC6971,Amit Mehta,Debit,1.0,INR,1.0,441710.35,ShopEasy,shopeasy@biz.com,Clothing,Women,Canada,Gurugram,583892,XXXX-XXXX-9814,amit.mehta@hotmail.com,5649290947,No,No Notes,2017-07-27
TX105577,2025-02-13,AC6735,Lina Sharma,Credit,1.0,INR,1.0,2868221.09,Zomato,zomato@biz.com,Entertainment,Concert,UAE,Gurugram,183,XXXX-XXXX-XXXX-2385,lina.sharma@gmail.com,9121506942,No,promo applied,2020-01-01
TX104882,2024-05-14,AC5526,Raj Das,Debit,106.2813,GBP,106.2813,2582304.63,Swiggy,swiggy@biz.com,Entertainment,Streaming,India,Hyderabad,326562,XXXX-XXXX-5551,raj.das@hotmail.com,4198398271,No,manual adjustment,2020-01-27
TX101817,2023-12-20,AC1304,Uma Bose,Debit,72.048,USD,72.048,1131438.52,Flipkart,flipkart@biz.com,Clothing,Women,UAE,Hyderabad,346032,XXXX-XXXX-4463,uma.bose@hotmail.com,22904022,No,repeat purchase,2023-08-09
TX104454,2024-06-28,AC4649,Rahul Iyer,Refund,1.0,INR,1.0,1641946.095,LocalMart,Unknown,Electronics,Accessory,UK,Delhi,219596,XXXX-XXXX-XXXX-5727,rahul.iyer@example.com,1800581411,No,suspected fraud,2019-01-01
TX102290,2024-03-13,AC9656,lina DAS,Debit,1.0,INR,1.0,1271368.07,Paytm Mall,paytmmall@biz.com,Education,Course,UAE,Mumbai,442179,4.76425E+15,lina.das@hotmail.com,9930420993,No,No Notes,2022-02-17
TX100135,2025-01-23,AC8259,Sana Khan,Refund,97.335,GBP,97.335,155509.42,Starbucks,Unknown,Education,Course,Canada,Noida,677623,4.10613E+15,sana.khan@yahoo.com,7214813343,No,"cashback credited -- verify
contact support",2019-07-29
TX101442,2025-04-20,AC2085,Suresh Desai,Debit,82.4542,USD,82.4542,976444.62,BigBasket,Unknown,Automotive,Repair,Australia,Hyderabad,626722,XXXX-XXXX-1991,suresh.desai@example.com,4417166483,No,"cashback credited -- verify
contact support",2021-01-01
TX103036,2023-09-23,AC6077,Vikram Reddy,Credit,93.9114,GBP,93.9114,1652243.2,Starbucks,starbucks@biz.com,Education,Books,India,Noida,232746,XXXX-XXXX-9558,vikram.reddy@yahoo.com,5714705011,No,suspected fraud,2021-01-25
TX105724,2024-06-08,AC1780,Isha Kumar,debit,1.0,INR,1.0,2901617.31,Reliance,Unknown,Education,Course,India,Bengaluru,452781,XXXX-XXXX-XXXX-9892,isha.kumar@gmail.com,8564343191,No,repeat purchase,2018-06-14
TX104603,2025-08-04,AC8468,Dev Iyer,Credit,74.2505,USD,74.2505,2466130.77,LocalMart,localmart@biz.com,Groceries,Supermarket,Canada,Noida,997488,XXXX-XXXX-XXXX-1466,dev.iyer@gmail.com,2549072389,No,repeat purchase,2025-08-04
TX104397,2024-06-12,AC6925,Asha Desai,Credit,99.5808,GBP,99.5808,1641946.095,Starbucks,starbucks@biz.com,Education,Course,UK,Chennai,864340,XXXX-XXXX-5734,asha.desai@yahoo.com ,1162887189,No,chargeback requested,2024-07-18
TX103351,2024-06-18,AC7652,Asha Patel,Credit,74.1723,USD,74.1723,1823671.89,Flipkart,Unknown,Education,Course,UAE,Kolkata,746298,XXXX-XXXX-2337,asha.patel@yahoo.com,3852247048,No,suspected fraud,2015-10-18
TX104736,2023-12-20,AC7176,Suresh Joshi,Debit,78.9386,USD,78.9386,2514468.82,ElectroWorld,electroworld@biz.com,Electronics,Accessory,USA,Chennai,160292,XXXX-XXXX-XXXX-7954,suresh.joshi@hotmail.com,8282249210,No,No Notes,2026-08-02
TX102371,2024-07-05,AC2464,Amit Singh,Debit,1.0,INR,1.0,1284760.12,Amazon,Unknown,Automotive,Repair,Australia,Hyderabad,665433,XXXX-XXXX-6938,amit.singh@yahoo.com,6457036653,No,cashback credited,2019-01-01
TX100718,2025-02-09,AC1524,Nha Khan,Credit,1.0,INR,1.0,1641946.095,LocalMart,localmart@biz.com,Automotive,Repair,Australia,Jaipur,802624,XXXX-XXXX-7075,nha.khan@hotmail.com,2384093536,No,promo applied,2025-02-09
TX101741,2024-07-08,AC9656,Maya Singh,Refund,19.5658,AED,19.5658,1143250.93,Paytm Mall,paytmmall@biz.com,Dining,FastFood,Canada,Noida,997986,XXXX-XXXX-XXXX-9786,maya.singh@yahoo.com,7445818359,No,chargeback requested,2019-01-19
TX105025,2024-08-10,AC1619,Sam Khan,Refund,1.0,INR,1.0,2625259.39,Flipkart,flipkart@biz.com,Groceries,Supermarket,UAE,Delhi,185591,XXXX-XXXX-XXXX-9256,sam.khan@gmail.com,3214380338,No,repeat purchase,2021-12-10
TX100008,2024-01-20,AC8380,Karan Gupta,Credit,1.0,INR,1.0,9630.77,LocalMart,localmart@biz.com,Dining,Restaurant,India,Hyderabad,552533,XXXX-XXXX-XXXX-3300,karan.gupta@example.com,2597454993,No,chargeback requested,2016-09-17
TX105158,2025-07-02,AC7221,Neha Joshi,Refund,21.6973,AED,21.6973,2679258.09,LocalMart,Unknown,Education,Books,UAE,Mumbai,851,XXXX-XXXX-9261,neha.joshi@example.com,5762598723,No,promo applied,2025-04-02
TX105655,2025-02-22,AC8390,Ritu Singh,Debit,80.0191,USD,80.0191,2873879.72,Zomato,zomato@biz.com,Health,Clinic,USA,Pune,950282,XXXX-XXXX-5406,ritu.singh@yahoo.com,340861617,No,repeat purchase,2025-02-22
TX105996,2023-09-12,AC8311,Karan Das,debit,1.0,INR,1.0,2936292.47,ShopEasy,shopeasy@biz.com,Electronics,Laptop,USA,Jaipur,280765,4.56643E+15,karan.das@example.com,7871265845,No,suspected fraud,2017-12-28
TX105424,2024-09-26,AC5730,Raj Chopra,Credit,103.2226,GBP,103.2226,2775577.18,Starbucks,starbucks@biz.com,Electronics,Accessory,India,Gurugram,804489,XXXX-XXXX-XXXX-5776,Unknown,9686127907,No,monthly subscription,2024-09-26
TX100658,2025-05-02,AC4558,Sam Patel,Debit,19.7965,AED,19.7965,434795.16,Paytm Mall,paytmmall@biz.com,Health,Clinic,UK,Delhi,542967,XXXX-XXXX-XXXX-9882,sam.patel@gmail.com,1103719244,No,manual adjustment,2016-01-19
TX101966,2025-05-08,AC7789,Asha Joshi,Debit,72.1281,USD,72.1281,1170364.46,Amazon,amazon@biz.com,Dining,Cafe,Canada,Mumbai,430125,XXXX-XXXX-3072,asha.joshiyahoo.com,2610524342,No,No Notes,2023-02-01
TX101585,2025-02-25,AC5650,Uma Roy,Credit,79.3054,USD,79.3054,1008377.25,Swiggy,Unknown,Clothing,Men,Australia,Delhi,758078,XXXX-XXXX-4767,uma.roy@example.com,6528471333,No,promo applied,2015-08-04
TX105974,2025-02-04,AC2656,Suresh Sharma,Credit,108.3485,GBP,108.3485,2935439.48,Zomato,zomato@biz.com,Health,Pharmacy,India,Mumbai,851,XXXX-XXXX-7983,suresh.sharma@gmail.com,2176539698,No,monthly subscription,2015-12-25
TX100402,2025-05-02,AC4350,Vikram Das,Debit,72.093,AED,72.093,1641946.095,,reliance@biz.com,Health,Pharmacy,UK,Gurugram,851,XXXX-XXXX-4107,vikram.das@example.com,7895682734,No,monthly subscription,2017-01-01
TX101485,2024-11-29,AC5778,Rohit Nair,Debit,1.0,INR,1.0,986126.23,Zomato,Unknown,Education,Books,UAE,Jaipur,352519,XXXX-XXXX-2047,rohit.nair@hotmail.com,9070268492,No,cashback credited,2022-02-18
TX103910,2024-11-14,AC2024,Maya Nair,Credit,75.6366,USD,75.6366,2120355.15,Starbucks,starbucks@biz.com,Electronics,Mobile,USA,Noida,538563,XXXX-XXXX-4145,maya.nair@gmail.com ,5508595994,No,promo applied,2023-01-11
TX100889,2023-10-23,AC6560,Priya Patel,Credit,20.9336,AED,20.9336,528640.45,Starbucks,starbucks@biz.com,Education,Course,Australia,Jaipur,865648,XXXX-XXXX-XXXX-7926,priya.patel@example.com,33769294,No,monthly subscription,2017-08-12
TX101090,2024-11-21,AC8946,Isha Das,Debit,77.8394,USD,77.8394,554511.1,ElectroWorld,electroworld@biz.com,Health,Clinic,Australia,Noida,867252,XXXX-XXXX-3874,isha.das@hotmail.com,9746628289,No,promo applied,2020-01-01
TX105191,2024-06-08,AC8838,Asha Roy,Debit,1.0,INR,1.0,2680025.78,Amazon,amazon@biz.com,Clothing,Women,UK,Gurugram,797517,4.39317E+15,asha.roy@yahoo.com,9220254556,No,promo applied,2017-01-01
