TransactionID,Date,AccountID,AccountName,TransactionType,Amount,Currency,ExchangeRate,Balance,Merchant,MerchantPhone,MerchantEmail,Category,Subcategory,Country,City,PostalCode,CardNumber,Email,Phone,IsFraud,Notes,CustomerSince
TX101935,7/8/2024,AC5372,Raj Reddy,Debit,$5.45 ,GBP,96.0691,-1168892.39,ShopEasy,9150633421,,Automotive,Fuel,USA,Gurugram,350578,XXXX-XXXX-9667,raj.reddy@yahoo.com,6454843768,No,monthly subscription,2017
TX104361,10/13/2024,AC4603,Raj Kumar,Refund,12.31,INR,1,-2419825.46,Zomato,9808807153,zomato@biz.com,Education,Books,UK,Noida,943828,XXXX-XXXX-XXXX-3858,raj.kumar@gmail.com,7960179727,No,promo applied,Aug-17
TX105135,11/1/2023,AC1978,Dev Bose,Debit,35.17,AED,19.8767,-2678063.64,Flipkart,,flipkart@biz.com,Entertainment,Concert,USA,Mumbai,541596,XXXX-XXXX-XXXX-7809,dev.bose@yahoo.com,5771717716,No,repeat purchase,Dec-22
TX102862,2/24/2025,AC6736,suresh ROY,CREDIT,8.82,AED,20.55,-1626685.13,Paytm Mall,-7725198158,paytmmall@biz.com,Dining,Restaurant,Canada,Pune,363091,XXXX-XXXX-5376,,-5856285767,No,repeat purchase,8/3/2015
TX100059,5/3/2024,AC7201,Lina Chopra,Credit,106.77,INR,1,-144093.87,Walmart,,,Automotive,Fuel,India,Delhi,569390,XXXX-XXXX-3817,lina.chopra@gmail.com,2148585218,No,repeat purchase,2018
TX101306,8/25/2024,AC3643,Sana Kumar,Credit,-34.25,USD,81.3081,-965108.08,Starbucks,3217013192,starbucks@biz.com,Entertainment,Streaming,Canada,Bengaluru,313942,XXXX-XXXX-1286,sana.kumar@yahoo.com,8285425328,No,chargeback requested,2025
TX105440,9/12/2024,AC3521,Asha Das,debit,16.08,USD,80.4133,-2783810.24,ShopEasy,2414487847,shopeasy@biz.com,Groceries,Supermarket,UK,Jaipur,244894,4.81928E+15,asha.das@gmail.com,2421026890,No,repeat purchase,2023
TX104539,6/20/2025,AC3852,Suresh Khan,debit,-83.05,INRr,1,-2464156.5,Zomato,3034529728,,Utilities,Internet,UK,Jaipur,639702,XXXX-XXXX-XXXX-4331,suresh.khan@example.com,-9297816406,No,suspected fraud,5/12/2017
TX104915,10/10/2024,AC9262,Lina Khan,Debit,42.68,USD,76.2602,"?-2,582,959.57",ElectroWorld,6028962435,,Automotive,Repair,UK,Jaipur,418828,XXXX-XXXX-XXXX-9478,lina.khan@yahoo.com,5630209429,No,cashback credited,9/23/2021
TX105847,5/10/2024,AC4073,Raj Sharma,debit,10.04,INR,1,"?-2,913,880.06",BigBasket,,bigbasket@biz.com,Education,Course,India,Mumbai,943210,XXXX-XXXX-XXXX-4864,raj.sharma@yahoo.com,-4272682811,No,monthly subscription,3/17/2022
TX104626,11/14/2024,AC2149,Asha Bose,CREDIT,14.87,AED,21.1947,-2466729.79,Myntra,,,Electronics,Laptop,Canada,Mumbai,218025,XXXX-XXXX-XXXX-1963,asha.bose@hotmail.com,-2848087356,No,chargeback requested,2020
TX101715,12/14/2024,AC4305,Dev Chopra,Refund,-29.71,GBP,92.4582,"?-1,105,545.33",Myntra,4807851195,myntra@biz.com,Entertainment,Concert,USA,Hyderabad,554639,XXXX-XXXX-8772,dev.chopra@yahoo.com,9782333274,No,chargeback requested,2015
TX100452,5/16/2025,AC6768,Rohit Kumar,Debit,10.15,USD,80.4977,"?-258,911.96",BigBasket,6063501916,bigbasket@biz.com,Entertainment,Concert,UK,Chennai,143661,XXXX-XXXX-3040,rohit.kumar@hotmail.com,2303906802,No,monthly subscription,3/4/2024
TX104116,4/16/2024,AC1034,Asha Josh,Debit,24.75,GBP,98.6922,-2235670.04,Swiggy,7525993573,swiggy@biz.com,Utilities,Internet,UAE,Bengaluru,744734,XXXX-XXXX-4893,asha.josh@hotmail.com,2991572575,No,promo applied,4/11/2018
TX105514,8/31/2024,AC5013,Anita Gupta,Debit,139.02,AED,20.2535,-2866366.7,LocalMart,794896056,localmart@biz.com,Groceries,Specialty,UAE,Hyderabad,354224,XXXX-XXXX-6573,anita.gupta@gmail.com,2406066923,No,cashback credited,6/16/2017
TX101649,8/26/2025,AC2769,Neha Nair,Debit,740.61,INR,1,-1077085.21,ElectroWorld,-529928323,electroworld@biz.com,Education,Books,USA,Noida,282732,XXXX-XXXX-6916,neha.nair@gmail.com,3172828875,No,manual adjustment,Jun-20
TX105205,8/19/2025,AC7600,Uma Iyer,Debit,89.36x,INR,1,-2680617.09,ElectroWorld,,electroworld@biz.com,Travel,Taxi,UAE,Hyderabad,512697,XXXX-XXXX-1912,uma.iyer@example.com,9635182434,No,cashback credited,9/12/2019
TX104282,5/27/2024,AC5218,Amit Patel,debit,133.12,USD,77.0508,"?-2,254,897.65",Paytm Mall,-712201363,paytmmall@biz.com,Entertainment,Movies,Australia,Mumbai,602529,,amit.patel@hotmail.com,-3145028308,No,promo applied,Jun-16
TX101031,10/11/2023,AC1135,Maya Joshi,debit,4.47,INR,1,-541895.17,Zomato,-4387810551,zomato@biz.com,Automotive,Fuel,USA,Bengaluru,458075,4.50287E+15,maya.joshigmail.com,4424097058,No,manual adjustment,11/20/2017
TX100893,11/12/2023,AC7170,Neha Singh,Debit,134.71,USD,74.1184,"?-528,842.12",ShopEasy,,shopeasy@biz.com,Utilities,Internet,UK,Bengaluru,N/A,XXXX-XXXX-4783,neha.singh@example.com,6814108886,No,promo applied,11/6/2018
TX102732,4/8/2024,AC8986,Karan Bose,CREDIT,65.07,GBP,108.1853,-1604589.22,Zomato,3427223556,zomato@biz.com,Automotive,Fuel,Canada,Noida,292,XXXX-XXXX-1048,karan.bose@gmail.com,8362382850,No,repeat purchase,Jun-25
TX105933,12/30/2023,AC8042,Asha Patel,Refund,2.06,INR,1,"?-2,933,789.49",ShopEasy,7855678102,shopeasy@biz.com,Clothing,Men,Australia,Delhi,258380,4.53047E+15,asha.patel@hotmail.com,5503926928,No,monthly subscription,Dec-21
TX104336,8/6/2024,AC8501,Dev Reddy,Debit,4.51,INR,1,-2419281.82,Walmart,9515266074,walmart@biz.com,Health,Pharmacy,Canada,Gurugram,907823,XXXX-XXXX-XXXX-4101,dev.reddy@example.com,1078805253,No,monthly subscription,11/18/2016
TX105780,8/8/2024,AC3357,Rohit Ds,Debit,7.55,USD,77.3263,"?-2,902,688.84",Starbucks,-5510700080,,Clothing,Men,UAE,Chennai,823309,XXXX-XXXX-XXXX-4131,rohit.ds@gmail.com,5051471297,No,promo applied,Feb-20
TX101883,4/4/2024,AC5205,Priya Das,Debit,16.27,INR,1,-1162726.61,Paytm Mall,1235279613,paytmmall@biz.com,Clothing,Men,India,Kolkata,976502,4.2347E+15,priya.das@hotmail.com,,No,chargeback requested,Nov-15
TX100244,5/27/2025,AC8081,Rahul Das,Debit,-7.84,AED,19.3642,"?-182,816.74",Paytm Mall,6118959144,,Clothing,Women,USA,Pune,938833,4.84125E+15,rahul.das@gmail.com,-9141358274,No,manual adjustment,Oct-21
TX103008,7/10/2024,AC4519,Priya Roy,Refund,121.42,GBP,108.7271,"?-1,642,302.73",Swiggy,3168396315,,Health,Pharmacy,India,Hyderabad,406227,XXXX-XXXX-3579,priya.roy@gmail.com,-6687083298,No,chargeback requested,18/05/2018
TX104954,2/13/2025,AC5128,Asha Sharma,CREDIT,49.02,USD,75.4365,"?-2,593,087.77",Paytm Mall,-529928323,paytmmall@biz.com,Clothing,Men,UAE,Jaipur,904363,XXXX-XXXX-7122,asha.sharma@yahoo.com,2964483564,No,repeat purchase,22/10/2024
TX105439,8/17/2024,AC3215,raj GUPTA,Debit,-30.81,INR,1,"?-2,783,802.20",BigBasket,4928024694,bigbasket@biz.com,Groceries,Specialty,India,Noida,252321,XXXX-XXXX-4048,,-596332663,No,,2019
TX104242,12/9/2023,AC9059,Dev Joshi,Refund,INR 16.32,USD,78.6113,"?-2,249,308.10",ShopEasy,3493827383,shopeasy@biz.com,Clothing,Men,USA,Mumbai,163619,XXXX-XXXX-7597,dev.joshi@gmail.com,5703662729,No,promo applied,9/11/2025
TX100149,3/31/2024,AC3436,Priya Iyer,Debit,47.29,INR,1,-159515.16,Amazon,9266232769,,Dining,FastFood,Australia,Bengaluru,404947,XXXX-XXXX-9133,priya.iyer@hotmail.com,8862075064,No,monthly subscription,unknown
TX100968,2/3/2025,AC4055,Vikram Iyer,Refund,INR 31.56,AED,18.4318,-538125.35,Zomato,,zomato@biz.com,Entertainment,Concert,UK,Mumbai,366839,XXXX-XXXX-XXXX-4395,vikram.iyer@example.com,-1359070095,No,monthly subscription,6/5/2021
TX101172,10/31/2023,AC2103,Uma Chopra,Debit,37.53,INR,1,-558165.12,Zomato,1351242622,zomato@biz.com,Entertainment,Streaming,UK,Hyderabad,601894,XXXX-XXXX-6321,uma.chopra@gmail.com,-5898306104,No,repeat purchase,5/1/2026
TX101078,9/27/2024,AC7583,Maya Joshi,Credit,200.52,GBP,102.9324,-554069.5,ElectroWorld,1002166841,electroworld@biz.com,Dining,FastFood,India,Bengaluru,906964,XXXX-XXXX-4394,maya.joshi@hotmail.com,9831713544,No,promo applied,20/05/2018
TX100607,4/11/2025,AC5277,Lina Khan,Debit,7.44,AED,18.9825,-280484.11,BigBasket,1928802600,,Clothing,Men,Australia,Bengaluru,237925,XXXX-XXXX-3660,lina.khan@yahoo.com,9584325325,No,cashback credited,23/06/2017
TX103306,1/11/2024,AC1069,Rahul Khan,debit,62.7,USD,75.2344,-1807800.08,LocalMart,-2702289999,,Entertainment,Concert,Australia,Gurugram,891887,XXXX-XXXX-XXXX-3484,rahul.khan@example.com,-8834441539,No,cashback credited,2017
TX103893,5/3/2025,AC4141,Sana Kumar,Debit,3.35,INR,1,-2119765.95,Paytm Mall,6495084910,paytmmall@biz.com,Electronics,Laptop,UAE,Pune,368236,XXXX-XXXX-XXXX-9148,sana.kumar@gmail.com,91534078,No,,5/12/2016
TX104025,3/19/2025,AC4460,Amit Reddy,Credit,USD 22.60,INR,1,-2230268.97,ShopEasy,,shopeasy@biz.com,Groceries,Specialty,Australia,Delhi,212464,XXXX-XXXX-XXXX-2667,amit.reddy@yahoo.com,3337649748,No,chargeback requested,4/20/2025
TX103307,3/12/2025,AC5363,Amit Das,Credit,-51.11,GBP,104.2049,-1807774.53,Myntra,,,Entertainment,Streaming,Canada,Bengaluru,112110,XXXX-XXXX-3058,amit.das@hotmail.com,1867597990,Yes,repeat purchase,2024
TX103313,7/14/2025,AC3705,Raj Joshi,debit,9.8,USD,81.3277,"?-1,808,167.79",Walmart,7168713199,walmart@biz.com,Automotive,Repair,UK,Kolkata,195972,,raj.joshi@gmail.com,7493558172,No," -- verify
contact support",2017
TX100962,12/31/2024,AC2315,Raj Gupta,Debit,41.92x,USD,72.1534,-537998.07,BigBasket,,bigbasket@biz.com,Utilities,Electricity,UK,Noida,740685,XXXX-XXXX-2383,raj.gupta@example.com ,6381948606,No,manual adjustment,2024
TX105061,9/16/2024,AC6036,Vikram Joshi,Credit,116.31,USD,80.1416,-2626456.33,Amazon,902058342,amazon@biz.com,Entertainment,Movies,UAE,Hyderabad,107274,XXXX-XXXX-XXXX-7441,vikram.joshigmail.com,-5380982778,No,repeat purchase,2021
TX104017,1/24/2024,AC8062,Ritu Bose,Debit,76.36,USD,79.4491,-2229955.54,LocalMart,3991186648,localmart@biz.com,Utilities,Internet,UAE,Chennai,394793,XXXX-XXXX-5744,ritu.bose@example.com,8345440986,No,monthly subscription,2025
TX104877,12/29/2023,AC5922,Asha Roy,debit,?55.63,USD,78.1248,-2582097.81,Reliance,-2681063350,reliance@biz.com,Travel,Flight,UK,Gurugram,356250,XXXX-XXXX-3040,asha.roy@example.com,1266866191,No,chargeback requested,21/10/2016
TX102017,11/23/2023,AC7927,Sam Mehta,CREDIT,2.99,GBP,108.6389,-1198244.24,Flipkart,-6699009169,flipkart@biz.com,Automotive,Repair,UAE,Gurugram,N/A,XXXX-XXXX-1617,sam.mehta@yahoo.com,4274247476,No,repeat purchase,2024
TX101128,12/18/2023,AC4123,Sam Roy,Debit,30.66,USD,74.8373,-556084.2,Swiggy,3778904586,swiggy@biz.com,Groceries,Supermarket,USA,Mumbai,948305,XXXX-XXXX-1512,sam.roy@gmail.com,2884957790,No,,11/5/2021
TX101879,12/6/2023,AC7457,Isha Gupta,CREDIT,12.59,INR,1,"?-1,162,546.94",ShopEasy,,shopeasy@biz.com,Education,Course,Canada,Pune,112651,4.57953E+15,isha.gupta@gmail.com,,No,suspected fraud,2023
TX100996,10/30/2024,AC3680,Rahul Bose,Refund,?286.35,USD,76.854,-540444.3,Reliance,2553367092,,Clothing,Men,USA,Kolkata,891724,XXXX-XXXX-5775,rahul.bose@example.com,-4077668631,No,repeat purchase,Dec-23
TX102441,8/16/2024,AC2190,Sana Singh,Debit,173.77,AED,20.0875,-1412964.73,Paytm Mall,7891748562,,Education,Course,USA,Chennai,954820,XXXX-XXXX-6036,sana.singh@yahoo.com,7728666343,No,repeat purchase,Sep-17
TX100183,12/1/2024,AC2061,Priya Singh,debit,59.08,USD,72.0087,-160861.6,Starbucks,-4270275891,starbucks@biz.com,Electronics,Laptop,Canada,Delhi,779639,XXXX-XXXX-2396,priya.singh@yahoocom,-6268886505,No,suspected fraud,2025
TX103580,11/13/2023,AC6576,Anita Iyer,Debit,424,INR,1,-1985416.59,BigBasket,-6294899110,bigbasket@biz.com,Automotive,Fuel,UAE,Hyderabad,498331,XXXX-XXXX-6943,anita.iyer@hotmail.com,1520837599,No,repeat purchase,2019
TX102573,6/26/2024,AC9655,Arjun Patel,Credit,31.18,GBP,93.8799,-1558063.5,Reliance,,reliance@biz.com,Clothing,Women,UAE,Mumbai,767751,XXXX-XXXX-4688,arjun.patel@hotmail.com,8885464699,No,chargeback requested,21/05/2019
TX105750,6/24/2025,AC1413,Rohit Reddy,Debit,31.37,INR,1,-2902030.33,ShopEasy,3180444546,shopeasy@biz.com,Clothing,Women,USA,Gurugram,260401,XXXX-XXXX-7279,rohit.reddy@example.com,6635535456,No,suspected fraud,2/25/2016
TX101690,1/22/2024,AC3148,Lina Patel,debit,66.96,INR,1,-1078153.24,Zomato,,zomato@biz.com,Electronics,Laptop,India,Pune,992600,XXXX-XXXX-5584,lina.patel@example.com,215016757,No,suspected fraud,5/5/2024
TX103556,6/23/2025,AC9559,Raj Chopra,Debit,71.43,INR,1,-1984854.17,Amazon,9366847739,,Entertainment,Concert,India,Mumbai,N/A,XXXX-XXXX-7502,raj.chopra@example.com,9772672278,,cashback credited,2/19/2020
TX103790,9/3/2025,AC9558,Ritu Chopra,Refund,66.91,INR,1,"?-2,118,056.02",Swiggy,,swiggy@biz.com,Electronics,Laptop,Canada,Jaipur,844795,XXXX-XXXX-4043,ritu.chopra@gmail.com,-9498584097,No,repeat purchase,8/3/2018
TX104783,2/14/2024,AC9402,Asha Reddy,Refund,10.23,GBP,92.614,"?-2,538,337.99",Swiggy,-5256653989,,Education,Course,Australia,Gurugram,623428,XXXX-XXXX-8719,asha.reddy@hotmail.com,7099932495,No,suspected fraud,12/3/2022
TX101208,12/15/2023,AC7841,Neha Patel,Debit,6.15,USD,78.2158,"?-593,592.13",Flipkart,3413322508,flipkart@biz.com,Utilities,Electricity,USA,Mumbai,801979,XXXX-XXXX-XXXX-8934,neha.patel@hotmail.com,5428150974,No,monthly subscription,Oct-16
TX102582,11/22/2023,AC7891,Suresh Joshi,CREDIT,31.07,USD,78.395,-1558830.66,AutoZone,4475599852,,Education,Course,Australia,Chennai,559867,XXXX-XXXX-4192,suresh.joshi@yahoo.com,-3007633270,No,chargeback requested,8/16/2021
TX101015,5/30/2024,AC6421,Karan Joshi,Debit,41.99,USD,80.671,"?-541,363.91",ElectroWorld,7828954654,,Dining,Cafe,UK,Gurugram,542517,XXXX-XXXX-XXXX-9899,karan.joshi@gmail.com,-1774988281,No,repeat purchase,16/10/2025
TX101216,10/18/2024,AC9745,Ritu Singh,Debit,Rs 14.76,AED,20.6941,-593608.93,Paytm Mall,5209613380,paytmmall@biz.com,Dining,Cafe,India,Jaipur,676000,XXXX-XXXX-XXXX-2954,ritu.singh@example.com,3546134212,No,cashback credited,3/24/2017
TX104572,9/21/2024,AC4530,uma DAS,Debit,87.42,USD,82.3036,-2465179.51,BigBasket,,bigbasket@biz.com,Electronics,Mobile,Canada,Mumbai,192999,XXXX-XXXX-4591,uma.das@hotmail.com,6096763812,No,cashback credited,2016
TX101390,2/24/2025,AC2624,sam KUMAR,Credit,57.51,USD,79.4537,-975017.93,LocalMart,,,Education,Books,Australia,Mumbai,876388,XXXX-XXXX-7221,sam.kumar@hotmail.com,4963289598,No,cashback credited,2021
TX103911,12/6/2024,AC2360,Uma Singh,Credit,43.04,INR,1,-2120376.67,Zomato,-5480980470,,Dining,FastFood,Australia,Chennai,828458,XXXX-XXXX-5414,uma.singh@yahoo.com,-6551297309,No,repeat purchase,Feb-20
TX100739,12/21/2023,AC6971,Amit Mehta,Debit,111.86,inr,1,-441710.35,ShopEasy,1815762701,shopeasy@biz.com,Clothing,Women,Canada,Gurugram,583892,XXXX-XXXX-9814,amit.mehta@hotmail.com,5649290947,No,,7/27/2017
TX105577,2/13/2025,AC6735,Lina Sharma,Credit,-41.76,INR,1,-2868221.09,Zomato,,zomato@biz.com,Entertainment,Concert,UAE,Gurugram,183,XXXX-XXXX-XXXX-2385,lina.sharma@gmail.com,9121506942,No,promo applied,unknown
TX104882,5/14/2024,AC5526,Raj Das,Debit,11.91,GBP,106.2813,-2582304.63,Swiggy,5285135032,swiggy@biz.com,Entertainment,Streaming,India,Hyderabad,326562,XXXX-XXXX-5551,raj.das@hotmail.com,4198398271,No,manual adjustment,1/27/2020
TX101817,12/20/2023,AC1304,Uma Bose,Debit,13.97,USD,72.048,-1131438.52,Flipkart,1660994989,flipkart@biz.com,Clothing,Women,UAE,Hyderabad,346032,XXXX-XXXX-4463,uma.bose@hotmail.com,22904022,No,repeat purchase,8/9/2023
TX104454,6/28/2024,AC4649,Rahul Iyer,Refund,151.59,INR,1,"?-2,462,069.16",LocalMart,8086146786,,Electronics,Accessory,UK,Delhi,219596,XXXX-XXXX-XXXX-5727,rahul.iyer@example.com,1800581411,No,suspected fraud,Sep-23
TX102290,3/13/2024,AC9656,lina DAS,Debit,266.85,INR,1,-1271368.07,Paytm Mall,3460503460,paytmmall@biz.com,Education,Course,UAE,Mumbai,442179,4.76425E+15,lina.das@hotmail.com,9930420993,No,,17/02/2022
TX100135,1/23/2025,AC8259,Sana Khan,Refund,212.71,GBP,97.335,-155509.42,Starbucks,97731861,,Education,Course,Canada,Noida,677623,4.10613E+15,sana.khan@yahoo.com,7214813343,No,"cashback credited -- verify
contact support",29/07/2019
TX101442,4/20/2025,AC2085,Suresh Desai,Debit,$41.15 ,USD,82.4542,-976444.62,BigBasket,,,Automotive,Repair,Australia,Hyderabad,626722,XXXX-XXXX-1991,suresh.desai@example.com,4417166483,No,"cashback credited -- verify
contact support",2021
TX103036,9/23/2023,AC6077,Vikram Reddy,Credit,21.95,GBP,93.9114,-1652243.2,Starbucks,5617140454,starbucks@biz.com,Education,Books,India,Noida,232746,XXXX-XXXX-9558,vikram.reddy@yahoo.com,5714705011,No,suspected fraud,25/01/2021
TX105724,6/8/2024,AC1780,Isha Kumar,debit,19.35,INR,1,-2901617.31,Reliance,1701086776,,Education,Course,India,Bengaluru,452781,XXXX-XXXX-XXXX-9892,isha.kumar@gmail.com,8564343191,No,repeat purchase,14/06/2018
TX104603,8/4/2025,AC8468,Dev Iyer,CREDIT,159.82,USD,74.2505,-2466130.77,LocalMart,7401571126,localmart@biz.com,Groceries,Supermarket,Canada,Noida,997488,XXXX-XXXX-XXXX-1466,dev.iyer@gmail.com,2549072389,No,repeat purchase,May-20
TX104397,6/12/2024,AC6925,Asha Desai,CREDIT,10.41,GBP,99.5808,"?-2,428,277.17",Starbucks,5617693988,starbucks@biz.com,Education,Course,UK,Chennai,864340,XXXX-XXXX-5734,asha.desai@yahoo.com ,,No,chargeback requested,7/18/2024
TX103351,6/18/2024,AC7652,Asha Patel,Credit,INR 22.00,USD,74.1723,-1823671.89,Flipkart,3789964216,,Education,Course,UAE,Kolkata,746298,XXXX-XXXX-2337,asha.patel@yahoo.com,3852247048,,suspected fraud,10/18/2015
TX104736,12/20/2023,AC7176,Suresh Joshi,Debit,12.82,USD,78.9386,-2514468.82,ElectroWorld,5843488303,electroworld@biz.com,Electronics,Accessory,USA,Chennai,160292,XXXX-XXXX-XXXX-7954,suresh.joshi@hotmail.com,8282249210,No,,Aug-19
TX102371,7/5/2024,AC2464,Amit Singh,Debit,INR 17.15,INR,1,-1284760.12,Amazon,601282578,,Automotive,Repair,Australia,Hyderabad,665433,XXXX-XXXX-6938,amit.singh@yahoo.com,6457036653,No,cashback credited,2019
TX100718,2/9/2025,AC1524,Nha Khan,Credit,21.41,INR,1,"?-441,298.51",LocalMart,,localmart@biz.com,Automotive,Repair,Australia,Jaipur,802624,XXXX-XXXX-7075,nha.khan@hotmail.com,2384093536,No,promo applied,Dec-24
TX101741,7/8/2024,AC9656,Maya Singh,Refund,27.04,AED,19.5658,-1143250.93,Paytm Mall,5491777509,paytmmall@biz.com,Dining,FastFood,Canada,Noida,997986,XXXX-XXXX-XXXX-9786,maya.singh@yahoo.com,7445818359,No,chargeback requested,19/01/2019
TX105025,8/10/2024,AC1619,Sam Khan,Refund,7.53,INR,1,-2625259.39,Flipkart,926567951,flipkart@biz.com,Groceries,Supermarket,UAE,Delhi,185591,XXXX-XXXX-XXXX-9256,sam.khan@gmail.com,3214380338,No,repeat purchase,12/10/2021
TX100008,1/20/2024,AC8380,Karan Gupta,Credit,Rs 18.85,INR,1,9630.77,LocalMart,,localmart@biz.com,Dining,Restaurant,India,Hyderabad,552533,XXXX-XXXX-XXXX-3300,karan.gupta@example.com,2597454993,No,chargeback requested,Jan-25
TX105158,7/2/2025,AC7221,Neha Joshi,Refund,26.55,AED,21.6973,-2679258.09,LocalMart,4686349025,,Education,Books,UAE,Mumbai,N/A,XXXX-XXXX-9261,neha.joshi@example.com,5762598723,No,promo applied,4/2/2025
TX105655,2/22/2025,AC8390,Ritu Singh,Debit,12.59,USD,80.0191,-2873879.72,Zomato,-9931272789,zomato@biz.com,Health,Clinic,USA,Pune,950282,XXXX-XXXX-5406,ritu.singh@yahoo.com,340861617,No,repeat purchase,Apr-23
TX105996,9/12/2023,AC8311,Karan Das,debit,132.05,INR,1,-2936292.47,ShopEasy,,shopeasy@biz.com,Electronics,Laptop,USA,Jaipur,280765,4.56643E+15,karan.das@example.com,-7871265845,No,suspected fraud,12/28/2017
TX105424,9/26/2024,AC5730,Raj Chopra,Credit,26.76,GBP,103.2226,-2775577.18,Starbucks,,starbucks@biz.com,Electronics,Accessory,India,Gurugram,804489,XXXX-XXXX-XXXX-5776,,9686127907,No,monthly subscription,Feb-19
TX100658,5/2/2025,AC4558,Sam Patel,Debit,42,AED,19.7965,-434795.16,Paytm Mall,9218165460,paytmmall@biz.com,Health,Clinic,UK,Delhi,542967,XXXX-XXXX-XXXX-9882,sam.patel@gmail.com,1103719244,No,manual adjustment,1/19/2016
TX101966,5/8/2025,AC7789,Asha Joshi,Debit,26.13,USD,72.1281,-1170364.46,Amazon,,amazon@biz.com,Dining,Cafe,Canada,Mumbai,430125,XXXX-XXXX-3072,asha.joshiyahoo.com,2610524342,No,,2/1/2023
TX101585,2/25/2025,AC5650,Uma Roy,Credit,76.08,USD,79.3054,-1008377.25,Swiggy,514836786,,Clothing,Men,Australia,Delhi,758078,XXXX-XXXX-4767,uma.roy@example.com,6528471333,,promo applied,8/4/2015
TX105974,2/4/2025,AC2656,Suresh Sharma,CREDIT,56.62,GBP,108.3485,-2935439.48,Zomato,859511226,zomato@biz.com,Health,Pharmacy,India,Mumbai,N/A,XXXX-XXXX-7983,suresh.sharma@gmail.com,2176539698,No,monthly subscription,25/12/2015
TX100402,5/2/2025,AC4350,Vikram Das,Debit,33.32,AED,,,,4987722283,reliance@biz.com,Health,Pharmacy,UK,Gurugram,,XXXX-XXXX-4107,vikram.das@example.com,7895682734,No,monthly subscription,2017
TX101485,11/29/2024,AC5778,Rohit Nair,Debit,101.4,INR,1,-986126.23,Zomato,3991186648,,Education,Books,UAE,Jaipur,352519,XXXX-XXXX-2047,rohit.nair@hotmail.com,9070268492,No,cashback credited,Oct-25
TX103910,11/14/2024,AC2024,Maya Nair,CREDIT,6.06,USD,75.6366,-2120355.15,Starbucks,-6566424683,starbucks@biz.com,Electronics,Mobile,USA,Noida,538563,XXXX-XXXX-4145,maya.nair@gmail.com ,5508595994,No,promo applied,Sep-16
TX100889,10/23/2023,AC6560,Priya Patel,Credit,?125.27,AED,20.9336,-528640.45,Starbucks,7759599230,starbucks@biz.com,Education,Course,Australia,Jaipur,865648,XXXX-XXXX-XXXX-7926,priya.patel@example.com,33769294,No,monthly subscription,8/12/2017
